CONCEPT_ID	CONCEPT_CODE	CONCEPT_CLASS
40664693	G8714	Procedure
40664745	G8715	Procedure
40664881	G0445	Procedure
2721153	S2325	Procedure
2719994	L5331	Procedure
2719984	L5250	Procedure
2719985	L5270	Procedure
2721462	S9214	Procedure
2721460	S9212	Procedure
2721461	S9213	Procedure
2721040	S0345	Procedure
2721041	S0346	Procedure
2721643	T1021	Procedure
2721441	S9122	Procedure
2617269	G0181	Procedure
2721315	S5180	Procedure
2721316	S5181	Procedure
2721326	S5518	Procedure
2721325	S5517	Procedure
2721284	S5036	Procedure
2721283	S5035	Procedure
2721459	S9211	Procedure
2721457	S9209	Procedure
2721456	S9208	Procedure
2617466	G0398	Procedure
2617467	G0399	Procedure
2617468	G0400	Procedure
2721479	S9335	Procedure
2721504	S9370	Procedure
2721486	S9343	Procedure
2721484	S9341	Procedure
2721485	S9342	Procedure
2721483	S9340	Procedure
2721482	S9339	Procedure
2721584	S9810	Procedure
2721567	S9538	Procedure
2721418	S9001	Procedure
2721437	S9097	Procedure
2721438	S9098	Procedure
2617413	G0337	Procedure
2721706	T2101	Procedure
2617415	G0339	Procedure
2720189	L6382	Procedure
2720190	L6384	Procedure
2720000	L5430	Procedure
2720188	L6380	Procedure
2719999	L5420	Procedure
2719998	L5410	Procedure
2719997	L5400	Procedure
2720002	L5460	Procedure
2720001	L5450	Procedure
2720192	L6388	Procedure
2720191	L6386	Procedure
2721143	S2235	Procedure
40664635	G0913	Procedure
40664653	G0915	Procedure
2721245	S4021	Procedure
2721244	S4020	Procedure
2721237	S4011	Procedure
2721242	S4017	Procedure
2721146	S2260	Procedure
2721148	S2265	Procedure
2721149	S2266	Procedure
2721150	S2267	Procedure
2720547	P9048	Procedure
2720542	P9043	Procedure
2720078	L5683	Procedure
40659402	G0427	Procedure
40663506	G0425	Procedure
40663507	G0426	Procedure
2617469	G0402	Procedure
40664723	C9732	Procedure
40664741	G0448	Procedure
2618197	HI	Procedure
2618196	HH	Procedure
40664776	G0446	Procedure
40658719	G0422	Procedure
40661615	G0423	Procedure
2721547	S9480	Procedure
2721648	T1026	Procedure
2721647	T1025	Procedure
2617478	G0411	Procedure
2721236	S4005	Procedure
2720467	L8659	Procedure
2720493	M0100	Procedure
2721351	S8049	Procedure
2720495	M0300	Procedure
40664738	L5312	Procedure
2719979	L5160	Procedure
2719978	L5150	Procedure
2719990	L5311	Procedure
2721980	V5363	Procedure
2721101	S2079	Procedure
2617418	G0342	Procedure
2617419	G0343	Procedure
2721072	S0800	Procedure
2721102	S2080	Procedure
2721037	S0340	Procedure
2721039	S0342	Procedure
2721038	S0341	Procedure
2720685	Q3	Procedure
2721090	S2060	Procedure
43533205	G0458	Procedure
2721625	T1003	Procedure
40664571	C8931	Procedure
40664521	C8934	Procedure
2616245	C8900	Procedure
2616254	C8909	Procedure
2616257	C8912	Procedure
2616260	C8918	Procedure
40664435	C8935	Procedure
40664460	C8932	Procedure
40664541	C8933	Procedure
40664564	C8936	Procedure
2616247	C8902	Procedure
2616256	C8911	Procedure
2616259	C8914	Procedure
2616262	C8920	Procedure
