atc_code,rxnorm_concept_id,combination
H05BA03,19090505,
H05BA04,,
J01AA10,,
J01AA20,,Y
J01AA56,,Y
J01BA52,,Y
J01CA07,,
J01CA08,19088223,
J01CA11,,
J01CA14,,
J01CA19,,
J01CA20,,Y
J01CA51,,Y
J01CE05,,
J01CE06,,
J01CE07,,
J01CE10,,
J01CE30,,Y
J01CF05,,
J01CR01,,Y
J01CR02,,Y
J01CR03,,Y
J01CR05,,Y
J01DB02,,
J01DB06,,
J01DB10,,
J01DB11,,
J01DB12,,
J01DC12,,
J01DC13,,
J01DC14,,
J01DD05,,
J01DD06,,
J01DD11,,
J01DD17,,
J01DD54,,Y
J01DD62,,Y
J01DE03,,
J01DF02,,
J01DH05,,
J01DH55,,Y
J01DI01,,
J01DI03,,
J01EA03,,
J01EB01,,
J01EB03,19136429,
J01EB08,,
J01EB20,,Y
J01EC20,,Y
J01ED03,,
J01ED04,,
J01ED06,,
J01ED08,,
J01ED09,,
J01ED20,,Y
J01EE01,,Y
J01EE02,,Y
J01EE03,,Y
J01EE04,,Y
J01EE05,,Y
J01EE06,,Y
J01EE07,,Y
J01FA12,,
J01FA14,,
J01FG02,,
J01GA02,,
J01GB10,,
J01GB11,,
J01GB12,19056778,
J01GB13,,
J01MA10,,
J01MA17,,
J01MA18,,
J01MA19,,
J01MA21,,
J01MB03,,
J01MB04,19133837,
J01RA01,,Y
J01RA02,,Y
J01RA03,,Y
J01RA04,,Y
J01RA05,,Y
J01XA04,,
J01XA05,,
J01XC01,,
J01XE02,,
J02AA02,,
J04AA03,19010337,
J04AB03,19056245,
J04AC51,,Y
J04AD01,19135812,
J04AD02,,
J04AK04,,
J04AK06,,
J04AM01,,Y
J04AM02,,Y
J04AM03,,Y
J04AM04,,Y
J04AM05,,Y
J04AM06,,Y
J04BA03,,
J05AA01,,
J05AD02,,
J05AF12,,
J05AR01,,Y
J05AR02,,Y
J05AR03,,Y
J05AR04,,Y
J05AR05,,Y
J05AR06,,Y
J05AR07,,Y
J05AR08,,Y
J05AR09,,Y
J05AR10,,Y
J05AR11,,Y
J05AX06,,
J05AX10,,
J06AA02,,
J06AA04,,
J06AA05,,
J06BB06,,
J06BB07,,
J06BB08,,
J06BB10,,
J06BB11,,
J06BB12,,Y
J06BB13,,
J06BB14,,
J06BB15,,
J06BB17,,
J06BB30,,Y
J06BC01,,
J07AD01,,
J07AE01,595252,
J07AE02,,
J07AE51,,Y
J07AF01,,
